+,Ich hatte eine sehr gute Erfahrung.
-,Es gab keine glutenfreien Alternativen.
+,Die Bedienung war sehr zuvorkommend.
-,Der Service hat viel zu lange gedauert.
+,Das Restaurant hat eine tolle Lage.
-,Der Tisch war wackelig.
+,Die Auswahl an Fischgerichten ist hervorragend.
-,Die Portionen waren völlig unzureichend.
+,Das Restaurant hat ein charmantes Design.
-,Die Bedienung war nicht sehr professionell.
+,Es war ein sehr entspannendes Dinner.
-,Der Wein war nicht gut gekühlt.
+,Das Preis-Leistungs-Verhältnis stimmt hier definitiv.
-,Das Gemüse war verkocht.
+,Die Gerichte waren kreativ und einzigartig.
-,Die Portionen kamen in unpassender Reihenfolge.
+,Der Service war wirklich schnell.
-,Es war viel zu warm im Restaurant.
+,Das Sushi war super frisch.
-,Die Nachspeise war viel zu süß.
+,Die Atmosphäre war sehr entspannend.
-,Der Kellner war sehr unhöflich.
+,Das Restaurant hat eine schöne Außenterrasse.
-,Die Stühle waren unbequem.
+,Die Präsentation der Gerichte war sehr ansprechend.
-,Die Portionen waren zu teuer für das, was man bekam.
+,Die Pizza war einfach perfekt.
-,Die Nudeln waren zu weich.
+,Die Mitarbeiter waren sehr freundlich.
-,Das Restaurant war zu überfüllt.
+,Das Essen war wirklich frisch und lecker.
-,Die Wartezeit auf das Essen war viel zu lang.
+,Ich würde das Restaurant jedem empfehlen.
-,Die Deko war sehr kitschig.
+,Das Restaurant hat eine tolle Atmosphäre für ein Abendessen zu zweit.
-,Die Tische waren zu nah beieinander.
+,Es gab eine große Auswahl an vegetarischen Gerichten.
-,Der Empfang war unorganisiert.
+,Die Atmosphäre ist perfekt für einen besonderen Anlass.
-,Das Restaurant war sehr laut.
+,Die Servicemitarbeiter waren sehr aufmerksam.
-,Das Restaurant hatte kein WLAN.
+,Die Fischgerichte sind einfach fantastisch.
-,Das Restaurant war schwer zu finden.
+,Die Soßen waren perfekt abgeschmeckt.
-,Das Ambiente war zu kalt.
+,Der Nachtisch war ein Traum.
-,Die Portionen waren nicht frisch.
+,Die Stimmung im Restaurant war sehr entspannt.
-,Die Nachspeise war zu trocken.
+,Das Fleisch war perfekt gebraten.
-,Das Restaurant hatte eine schlechte Belüftung.
+,Die Gerichte kamen in kürzester Zeit.
-,Die Stühle waren unbequem und hart.
+,Das Restaurant ist sehr kinderfreundlich.
-,Der Service war schlecht organisiert.
+,Die Auswahl an Getränken war großartig.
-,Der Kellner hatte keine Ahnung von der Karte.
+,Die Speisekarte ist sehr gut strukturiert.
-,Der Tisch wackelte ständig.
+,Das Restaurant hatte ein schönes, modernes Design.
-,Die Getränke waren zu stark.
+,Die Bedienung war super schnell und freundlich.
-,Die Temperatur im Restaurant war unangenehm.
+,Die Portionsgrößen waren ideal.
-,Der Wein war viel zu warm.
+,Es war sehr angenehm, dort zu essen.
-,Der Tisch war nicht richtig gedeckt.
+,Die Pasta war perfekt al dente.
-,Das Fleisch war sehr zäh.
+,Die Atmosphäre ist sehr ruhig und entspannend.
-,Die Gerichte waren zu stark gewürzt.
+,Die Gerichte waren sehr lecker und gut gewürzt.
-,Die Wartezeit war zu lang für ein schnelles Mittagessen.
+,Die Auswahl an veganen Gerichten war groß.
-,Die Toiletten waren nicht sauber.
+,Der Service war sehr professionell.
-,Es gab keine vegetarischen Optionen.
+,Die Atmosphäre war perfekt für ein romantisches Abendessen.
-,Der Raum war zu eng und stickig.
+,Das Preis-Leistungs-Verhältnis war ausgezeichnet.
-,Der Service war überfordert und unaufmerksam.
+,Die Qualität des Essens war einfach hervorragend.
